"";"weights";"prop"
"Blancs et nuls";"-0.0118168158490939";"0.000333474288238069"
"Abstentions";"5.11295902451566";"0.0560691823311631"
"JOLY";"7.89701408648835";"0.907452650482962"
"LE PEN";"-7.18148430051078";"2.56634670999755e-07"
"SARKOZY";"4.57786897553424";"0.0328350413197347"
"MÉLENCHON";"-0.57105462703271";"0.000190628775765994"
"POUTOU";"-1.14549463830333";"0.00010732782580585"
"ARTHAUD";"-1.87561658472112";"5.17159371848442e-05"
"CHEMINADE";"1.49227084233035";"0.00150064969576385"
"BAYROU";"0.290864801648118";"0.000451351936927183"
"DUPONT-AIGNAN";"0.28841657839072";"0.000450248278170703"
"HOLLANDE";"0.502030581811061";"0.000557472493612995"
