"id";"code_geo";"town_clean"
"1000215";"02691";"SAINT-QUENTIN"
"1000348";"17306";"ROYAN"
"1000421";"06088";"NICE"
"1000538";"06085";"MOUGINS"
"1000637";"06066";"GILETTE"
"1000645";"06027";"CAGNES-SUR-MER"
"1000652";"06027";"CAGNES-SUR-MER"
"1000694";"26235";"PIERRELATTE"
"1000728";"09329";"VERNAJOUL"
"1001049";"13040";"FUVEAU"
"1001072";"13001";"AIX-EN-PROVENCE"
"1001148";"13108";"TARASCON"
"1001395";"13098";"SAINT-MITRE-LES-REMPARTS"
"1001510";"16015";"ANGOULEME"
"1001668";"17019";"ARS-EN-RE"
"1001700";"18033";"BOURGES"
"1001734";"18033";"BOURGES"
"1002062";"22168";"PERROS-GUIREC"
"1002252";"25418";"NANCRAY"
"1002294";"25411";"MORTEAU"
"1002344";"01250";"MISERIEUX"
"1002427";"27656";"TOUTAINVILLE"
"1002484";"28234";"MARCHEVILLE"
"1002542";"28057";"BOUVILLE"
"1002583";"29019";"BREST"
"1002682";"30007";"ALES"
"1002740";"30230";"SAINT-ANDRE-DE-ROQUEPERTUIS"
"1002781";"31410";"PECHBONNIEU"
"1002948";"31032";"AUSSONNE"
"1003003";"24037";"BERGERAC"
"1003177";"33492";"SAINT-YZAN-DE-SOUDIAC"
"1003201";"34172";"MONTPELLIER"
"1003227";"34172";"MONTPELLIER"
"1003250";"34057";"CASTELNAU-LE-LEZ"
"1003474";"35236";"REDON"
"1003540";"36194";"SAINT-GENOU"
"1003557";"37261";"TOURS"
"1003649";"37101";"EPEIGNE-SUR-DEME"
"1004092";"41018";"BLOIS"
"1004159";"41212";"SAINT-GERVAIS-LA-FORET"
"1004183";"34301";"SETE"
"1004316";"43159";"RAUCOULES"
"1004498";"44162";"SAINT-HERBLAIN"
"1004605";"45346";"VITRY-AUX-LOGES"
"1004639";"45212";"MONTCRESSON"
"1004944";"51454";"REIMS"
"1004951";"08360";"RENNEVILLE"
"1004969";"51454";"REIMS"
"1004977";"51454";"REIMS"
"1004993";"51454";"REIMS"
"1005024";"51230";"EPERNAY"
"1005032";"51432";"PLEURS"
"1005172";"53252";"SAINT-SAMSON"
"1005966";"59425";"NEUVILLE-EN-AVESNOIS"
"1006170";"59544";"SAINT-SAULVE"
"1006485";"62272";"DOUCHY-LES-AYETTE"
"1006642";"62261";"CUCQ"
"1006675";"63032";"BEAUMONT"
"1006683";"63042";"BLANZAT"
"1006881";"64142";"BOUGARBER"
"1007186";"67482";"STRASBOURG"
"1007194";"67046";"BISCHWILLER"
"1007236";"67447";"SCHILTIGHEIM"
"1007244";"67034";"BERSTETT"
"1007368";"68066";"COLMAR"
"1007459";"68271";"RIEDISHEIM"
"1007491";"68166";"KINGERSHEIM"
"1007541";"68195";"LUTTERBACH"
"1007731";"69123";"LYON"
"1007830";"69075";"DIEME"
"1008028";"70526";"VAUVILLERS"
"1008077";"71408";"SAINT-EDMOND"
"1008119";"72181";"LE MANS"
"1008127";"72217";"NEUVILLE-SUR-SARTHE"
"1008283";"74011";"ANNECY-LE-VIEUX"
"1008291";"74010";"ANNECY"
"1008317";"74236";"SAINT-GERVAIS-LES-BAINS"
"1008481";"93005";"AULNAY-SOUS-BOIS"
"1008515";"75056";"PARIS"
"1008556";"75056";"PARIS"
"1008598";"75056";"PARIS"
"1008671";"75056";"PARIS"
"1008689";"75056";"PARIS"
"1008796";"37151";"LA MEMBROLLE-SUR-CHOISILLE"
"1008812";"75056";"PARIS"
"1009034";"35238";"RENNES"
"1009067";"19180";"SAINT-ANGEL"
"1009083";"75056";"PARIS"
"1009117";"75056";"PARIS"
"1009182";"75056";"PARIS"
"1009315";"76540";"ROUEN"
"1009331";"76540";"ROUEN"
"1009430";"76681";"SOTTEVILLE-LES-ROUEN"
"1009455";"76101";"BLANGY-SUR-BRESLE"
"1009638";"77067";"CESSON"
"1009661";"77183";"LA FERTE-SOUS-JOUARRE"
"1009760";"23257";"VALLIERE"
"1009836";"78646";"VERSAILLES"
"1010032";"78146";"CHATOU"
"1010206";"79351";"VILLIERS-EN-PLAINE"
"1010339";"80373";"GAMACHES"
"1010438";"81145";"LISLE-SUR-TARN"
"1010537";"83071";"LA LONDE-LES-MAURES"
"1010636";"84089";"PERTUIS"
"1010677";"84078";"MONDRAGON"
"1011246";"91477";"PALAISEAU"
"1011568";"91589";"SAVIGNY-SUR-ORGE"
"1011709";"92024";"CLICHY"
"1011766";"92002";"ANTONY"
"1011808";"92051";"NEUILLY-SUR-SEINE"
"1011832";"69205";"SAINT-GENIS-LES-OLLIERES"
"1012186";"13055";"MARSEILLE"
"1012194";"93064";"ROSNY-SOUS-BOIS"
"1012202";"93027";"LA COURNEUVE"
"1012335";"93045";"LES LILAS"
"1012483";"94033";"FONTENAY-SOUS-BOIS"
"1012533";"94052";"NOGENT-SUR-MARNE"
"1012574";"91191";"CROSNE"
"1012582";"94078";"VILLENEUVE-SAINT-GEORGES"
"1012723";"94080";"VINCENNES"
"1012780";"94017";"CHAMPIGNY-SUR-MARNE"
"1012954";"95313";"L'ISLE-ADAM"
"1013093";"95218";"ERAGNY-SUR-OISE"
"1013168";"36015";"BEAULIEU"
"1013218";"91201";"DRAVEIL"
"1013309";"78646";"VERSAILLES"
"1013374";"95176";"CORMEILLES-EN-PARISIS"
"1013499";"57480";"MONTIGNY-LES-METZ"
"1013556";"67482";"STRASBOURG"
"1013630";"17415";"SAINTES"
"1013788";"69131";"MESSIMY"
"1013804";"68315";"SOULTZ-HAUT-RHIN"
"1014026";"69052";"CHAZAY-D'AZERGUES"
"1014091";"43002";"AIGUILHE"
"1014166";"69266";"VILLEURBANNE"
"1014307";"81193";"NAGES"
"1014455";"26324";"SAINT-PAUL-TROIS-CHATEAUX"
"1014489";"35303";"SAINT-OUEN-LA-ROUERIE"
"1014497";"91286";"GRIGNY"
"1014638";"75056";"PARIS"
"1014653";"71123";"CHENAY-LE-CHATEL"
"1014679";"69123";"LYON"
