"";"weights";"prop"
"Blancs et nuls";"1.71699253836754";"5.75711214476837e-05"
"Abstentions";"0";"1.03400896561888e-05"
"JOLY";"11.3888620346631";"0.913364738676401"
"LE PEN";"-38.9155606695397";"1.29930480782488e-22"
"SARKOZY";"8.58325025205015";"0.0552309515663588"
"MÉLENCHON";"7.96326506209473";"0.0297116232053894"
"POUTOU";"4.84774051719997";"0.00131786602155491"
"CHEMINADE";"1.99430041033505";"7.59692725659588e-05"
"DUPONT-AIGNAN";"2.57241261468614";"0.000135428138239366"
"BAYROU";"0.930680111206412";"2.62248819032699e-05"
"HOLLANDE";"0.0903363834418519";"1.13176666284154e-05"
"ARTHAUD";"1.72388605274946";"5.79693598554214e-05"
